time,open,high,low,close,interval,pair
2023-06-15,0.85514,0.85915,0.8542,0.85623,D1,EURGBP
2023-06-15,151.692,153.683,151.519,153.549,D1,EURJPY
2023-06-15,1.08303,1.09528,1.08039,1.09454,D1,EURUSD
2023-06-15,1.85346,1.86846,1.85346,1.85735,D1,GBPAUD
2023-06-15,1.68661,1.69044,1.68452,1.68998,D1,GBPCAD
2023-06-15,177.328,179.394,177.124,179.327,D1,GBPJPY
2023-06-15,1.26598,1.27855,1.26294,1.27834,D1,GBPUSD
2023-06-15,1.33211,1.33546,1.32098,1.32205,D1,USDCAD
2023-06-15,0.90081,0.90563,0.89074,0.89163,D1,USDCHF
2023-06-15,140.068,141.505,139.938,140.28,D1,USDJPY
2023-06-16,1.58998,1.59571,1.58752,1.59119,D1,EURAUD
2023-06-16,1.44655,1.4502,1.44099,1.44379,D1,EURCAD
2023-06-16,0.85594,0.85659,0.85215,0.85329,D1,EURGBP
2023-06-16,153.511,155.235,153.092,155.234,D1,EURJPY
2023-06-16,1.09425,1.09706,1.09176,1.09406,D1,EURUSD
2023-06-16,1.85719,1.86938,1.85429,1.86471,D1,GBPAUD
2023-06-16,1.68974,1.69786,1.68734,1.69166,D1,GBPCAD
2023-06-16,179.295,182.044,178.821,181.894,D1,GBPJPY
2023-06-16,1.27834,1.28482,1.27681,1.28202,D1,GBPUSD
2023-06-16,1.32183,1.32394,1.31776,1.31964,D1,USDCAD
2023-06-16,0.89138,0.89493,0.89018,0.89373,D1,USDCHF
2023-06-16,140.259,141.91,139.851,141.882,D1,USDJPY
2023-06-19,1.58721,1.60031,1.5853,1.59451,D1,EURAUD
2023-06-19,1.44143,1.44677,1.43974,1.44271,D1,EURCAD
2023-06-19,0.85268,0.8548,0.85183,0.85419,D1,EURGBP
2023-06-19,154.767,155.324,154.653,155.089,D1,EURJPY
2023-06-19,1.09273,1.09463,1.09073,1.09225,D1,EURUSD
2023-06-19,1.8596,1.87507,1.85814,1.8667,D1,GBPAUD
2023-06-19,1.68934,1.69526,1.68684,1.68905,D1,GBPCAD
2023-06-19,181.583,182.118,181.215,181.558,D1,GBPJPY
2023-06-19,1.28175,1.28367,1.27705,1.2787,D1,GBPUSD
2023-06-19,1.31808,1.32288,1.31788,1.32087,D1,USDCAD
2023-06-19,0.8935,0.89753,0.89272,0.89578,D1,USDCHF
2023-06-19,141.662,142.001,141.44,141.987,D1,USDJPY
2023-06-20,1.59388,1.61446,1.5917,1.6086,D1,EURAUD
2023-06-20,1.44236,1.44769,1.44159,1.44484,D1,EURCAD
2023-06-20,0.85331,0.85812,0.85272,0.85499,D1,EURGBP
2023-06-20,155.033,155.381,154.045,154.426,D1,EURJPY
2023-06-20,1.09197,1.09463,1.08918,1.09178,D1,EURUSD
2023-06-20,1.86302,1.88354,1.86167,1.88005,D1,GBPAUD
2023-06-20,1.68812,1.69286,1.68426,1.68918,D1,GBPCAD
2023-06-20,181.611,182.088,179.921,180.493,D1,GBPJPY
2023-06-20,1.27911,1.28064,1.27135,1.27636,D1,GBPUSD
2023-06-20,1.3207,1.32697,1.32054,1.32323,D1,USDCAD
2023-06-20,0.89548,0.90012,0.89439,0.89775,D1,USDCHF
2023-06-20,141.978,142.249,141.213,141.441,D1,USDJPY
2023-06-21,1.60802,1.61869,1.60591,1.6163,D1,EURAUD
2023-06-21,1.44484,1.44673,1.4417,1.44614,D1,EURCAD
2023-06-21,0.85479,0.86088,0.85246,0.8602,D1,EURGBP
2023-06-21,154.436,155.912,154.092,155.884,D1,EURJPY
2023-06-21,1.09176,1.09908,1.09056,1.09856,D1,EURUSD
2023-06-21,1.88004,1.88968,1.87472,1.87837,D1,GBPAUD
2023-06-21,1.68894,1.69274,1.67745,1.68054,D1,GBPCAD
2023-06-21,180.492,181.602,179.922,181.143,D1,GBPJPY
2023-06-21,1.27639,1.28027,1.26911,1.27675,D1,GBPUSD
2023-06-21,1.3233,1.32459,1.31572,1.31626,D1,USDCAD
2023-06-21,0.89749,0.89982,0.89198,0.89301,D1,USDCHF
2023-06-21,141.457,142.371,141.28,141.877,D1,USDJPY
2023-06-22,1.6162,1.62591,1.61367,1.62146,D1,EURAUD
2023-06-22,1.44578,1.44868,1.44014,1.44055,D1,EURCAD
2023-06-22,0.85983,0.86364,0.85718,0.85882,D1,EURGBP
2023-06-22,155.893,156.93,155.549,156.783,D1,EURJPY
2023-06-22,1.09856,1.10122,1.09486,1.09551,D1,EURUSD
2023-06-22,1.87839,1.89081,1.87367,1.88653,D1,GBPAUD
2023-06-22,1.68054,1.68891,1.6741,1.67623,D1,GBPCAD
2023-06-22,181.012,182.557,180.707,182.424,D1,GBPJPY
2023-06-22,1.27683,1.28448,1.27256,1.27463,D1,GBPUSD
2023-06-22,1.3162,1.31793,1.31389,1.31509,D1,USDCAD
2023-06-22,0.89289,0.89724,0.89068,0.89455,D1,USDCHF
2023-06-22,141.751,143.227,141.609,143.109,D1,USDJPY
2023-06-23,1.62074,1.63381,1.6189,1.63085,D1,EURAUD
2023-06-23,1.44051,1.44238,1.43163,1.43524,D1,EURCAD
2023-06-23,0.85905,0.8608,0.85358,0.85634,D1,EURGBP
2023-06-23,156.727,156.826,155.057,156.55,D1,EURJPY
2023-06-23,1.09551,1.09586,1.08444,1.08898,D1,EURUSD
2023-06-23,1.8843,1.90963,1.8834,1.90421,D1,GBPAUD
2023-06-23,1.67569,1.68315,1.67364,1.67575,D1,GBPCAD
2023-06-23,182.42,182.94,181.248,182.68,D1,GBPJPY
2023-06-23,1.27407,1.27488,1.26847,1.27143,D1,GBPUSD
2023-06-23,1.31481,1.32257,1.31429,1.31795,D1,USDCAD
2023-06-23,0.89418,0.90132,0.89365,0.89683,D1,USDCHF
2023-06-23,143.085,143.87,142.678,143.696,D1,USDJPY
2023-06-26,1.63075,1.63643,1.62944,1.63362,D1,EURAUD
2023-06-26,1.43598,1.43793,1.43252,1.43441,D1,EURCAD
2023-06-26,0.85737,0.85948,0.85429,0.85777,D1,EURGBP
2023-06-26,156.323,156.724,155.751,156.509,D1,EURJPY
2023-06-26,1.09047,1.09202,1.08873,1.09053,D1,EURUSD
2023-06-26,1.90046,1.91009,1.8998,1.90394,D1,GBPAUD
2023-06-26,1.67479,1.67825,1.66969,1.67203,D1,GBPCAD
2023-06-26,182.308,182.985,181.681,182.411,D1,GBPJPY
2023-06-26,1.27074,1.27486,1.26878,1.27108,D1,GBPUSD
2023-06-26,1.31787,1.31813,1.31361,1.31527,D1,USDCAD
2023-06-26,0.897,0.897,0.89119,0.89534,D1,USDCHF
2023-06-26,143.476,143.712,142.938,143.502,D1,USDJPY
2023-06-27,1.63363,1.64136,1.62575,1.63908,D1,EURAUD
2023-06-27,1.43395,1.44617,1.43277,1.44575,D1,EURCAD
2023-06-27,0.85767,0.86134,0.85677,0.85957,D1,EURGBP
2023-06-27,156.427,157.938,156.382,157.91,D1,EURJPY
2023-06-27,1.09052,1.09769,1.09018,1.09599,D1,EURUSD
2023-06-27,1.90385,1.90908,1.89407,1.90648,D1,GBPAUD
2023-06-27,1.6713,1.68167,1.66996,1.68161,D1,GBPCAD
2023-06-27,182.394,183.761,182.226,183.666,D1,GBPJPY
2023-06-27,1.27073,1.27594,1.27033,1.27483,D1,GBPUSD
2023-06-27,1.31469,1.31911,1.31164,1.31905,D1,USDCAD
2023-06-27,0.89531,0.89703,0.89236,0.89351,D1,USDCHF
2023-06-27,143.5,144.175,143.282,144.062,D1,USDJPY
2023-06-28,1.63895,1.6554,1.63716,1.65319,D1,EURAUD
2023-06-28,1.44578,1.45172,1.44429,1.44639,D1,EURCAD
2023-06-28,0.8596,0.86582,0.85872,0.86354,D1,EURGBP
2023-06-28,157.866,157.999,157.227,157.663,D1,EURJPY
2023-06-28,1.09603,1.09626,1.08968,1.09124,D1,EURUSD
2023-06-28,1.90636,1.92404,1.90379,1.91406,D1,GBPAUD
2023-06-28,1.68159,1.68353,1.6715,1.67473,D1,GBPCAD
2023-06-28,183.666,183.683,182.142,182.552,D1,GBPJPY
2023-06-28,1.27485,1.27518,1.26064,1.26345,D1,GBPUSD
2023-06-28,1.3191,1.32765,1.3188,1.32554,D1,USDCAD
2023-06-28,0.89333,0.89871,0.89205,0.8968,D1,USDCHF
2023-06-28,144.062,144.617,143.729,144.481,D1,USDJPY
2023-06-29,1.64941,1.6544,1.63997,1.6418,D1,EURAUD
2023-06-29,1.4465,1.45054,1.4392,1.43944,D1,EURCAD
2023-06-29,0.86353,0.86436,0.86101,0.86106,D1,EURGBP
2023-06-29,157.673,157.919,157.244,157.249,D1,EURJPY
2023-06-29,1.09123,1.09415,1.08602,1.08631,D1,EURUSD
2023-06-29,1.91326,1.91589,1.90104,1.9061,D1,GBPAUD
2023-06-29,1.67477,1.67915,1.66972,1.67131,D1,GBPCAD
2023-06-29,182.539,182.878,182.213,182.54,D1,GBPJPY
2023-06-29,1.26348,1.26669,1.2591,1.26119,D1,GBPUSD
2023-06-29,1.32554,1.32855,1.3239,1.32504,D1,USDCAD
2023-06-29,0.89657,0.90017,0.89431,0.89931,D1,USDCHF
2023-06-29,144.478,144.898,144.13,144.733,D1,USDJPY
2023-06-30,1.64184,1.64615,1.63559,1.63782,D1,EURAUD
2023-06-30,1.43987,1.44702,1.4366,1.44485,D1,EURCAD
2023-06-30,0.86108,0.86177,0.85761,0.85896,D1,EURGBP
2023-06-30,157.269,157.879,156.679,157.38,D1,EURJPY
2023-06-30,1.08632,1.09319,1.08354,1.09092,D1,EURUSD
2023-06-30,1.90586,1.91145,1.90222,1.90408,D1,GBPAUD
2023-06-30,1.66984,1.68472,1.669,1.68126,D1,GBPCAD
2023-06-30,182.555,183.873,182.198,183.19,D1,GBPJPY
2023-06-30,1.26129,1.27276,1.25993,1.2693,D1,GBPUSD
2023-06-30,1.32498,1.32852,1.32066,1.32444,D1,USDCAD
2023-06-30,0.89895,0.90166,0.89352,0.89505,D1,USDCHF
2023-06-30,144.733,145.069,144.2,144.297,D1,USDJPY
2023-07-03,1.63682,1.64341,1.6315,1.63507,D1,EURAUD
2023-07-03,1.4442,1.44693,1.44228,1.44402,D1,EURCAD
2023-07-03,0.85879,0.86055,0.85779,0.85939,D1,EURGBP
2023-07-03,157.423,157.955,157.218,157.9,D1,EURJPY
2023-07-03,1.0909,1.0934,1.08702,1.09103,D1,EURUSD
2023-07-03,1.90279,1.91262,1.89786,1.90193,D1,GBPAUD
2023-07-03,1.67972,1.68373,1.67773,1.68018,D1,GBPCAD
2023-07-03,183.065,183.754,183.043,183.599,D1,GBPJPY
2023-07-03,1.26849,1.27232,1.26583,1.26907,D1,GBPUSD
2023-07-03,1.32369,1.32734,1.32301,1.3242,D1,USDCAD
2023-07-03,0.8942,0.90043,0.89359,0.89618,D1,USDCHF
2023-07-03,144.351,144.911,143.981,144.637,D1,USDJPY
2023-07-04,1.63442,1.64121,1.62516,1.62544,D1,EURAUD
2023-07-04,1.444,1.44632,1.43806,1.43841,D1,EURCAD
2023-07-04,0.85918,0.86,0.85537,0.85551,D1,EURGBP
2023-07-04,157.839,157.91,157.134,157.151,D1,EURJPY
2023-07-04,1.09102,1.09163,1.08767,1.08784,D1,EURUSD
2023-07-04,1.90138,1.91,1.89712,1.89875,D1,GBPAUD
2023-07-04,1.68087,1.68384,1.67884,1.6807,D1,GBPCAD
2023-07-04,183.615,183.906,183.229,183.669,D1,GBPJPY
2023-07-04,1.26911,1.27391,1.26748,1.27091,D1,GBPUSD
2023-07-04,1.3242,1.32567,1.3203,1.32222,D1,USDCAD
2023-07-04,0.89599,0.89746,0.89456,0.8968,D1,USDCHF
2023-07-04,144.643,144.699,144.204,144.442,D1,USDJPY
2023-07-05,1.62528,1.63528,1.6231,1.63084,D1,EURAUD
2023-07-05,1.43847,1.44755,1.43734,1.44129,D1,EURCAD
2023-07-05,0.85539,0.8576,0.8542,0.85421,D1,EURGBP
2023-07-05,157.06,157.721,156.78,157.01,D1,EURJPY
2023-07-05,1.0879,1.09079,1.0851,1.08534,D1,EURUSD
2023-07-05,1.89865,1.90923,1.8958,1.90886,D1,GBPAUD
2023-07-05,1.68043,1.68967,1.67944,1.68703,D1,GBPCAD
2023-07-05,183.505,184.011,183.148,183.766,D1,GBPJPY
2023-07-05,1.2709,1.27353,1.2688,1.27036,D1,GBPUSD
2023-07-05,1.32198,1.3293,1.32158,1.3279,D1,USDCAD
2023-07-05,0.89586,0.89946,0.89545,0.89852,D1,USDCHF
2023-07-05,144.445,144.733,144.078,144.643,D1,USDJPY
2023-07-06,1.63065,1.64409,1.62496,1.64246,D1,EURAUD
2023-07-06,1.44113,1.45626,1.44022,1.45484,D1,EURCAD
2023-07-06,0.85424,0.85644,0.85207,0.85464,D1,EURGBP
2023-07-06,156.992,157.195,155.839,156.851,D1,EURJPY
2023-07-06,1.08533,1.09007,1.08336,1.08883,D1,EURUSD
2023-07-06,1.90837,1.92337,1.90079,1.92277,D1,GBPAUD
2023-07-06,1.68642,1.70344,1.68406,1.70271,D1,GBPCAD
2023-07-06,183.735,184.004,182.497,183.53,D1,GBPJPY
2023-07-06,1.26906,1.27808,1.26734,1.27395,D1,GBPUSD
2023-07-06,1.32788,1.33724,1.32749,1.33651,D1,USDCAD
2023-07-06,0.89821,0.89976,0.89503,0.89512,D1,USDCHF
2023-07-06,144.643,144.652,143.553,144.055,D1,USDJPY
2023-07-07,1.64331,1.64647,1.63674,1.63847,D1,EURAUD
2023-07-07,1.45495,1.45714,1.45115,1.45593,D1,EURCAD
2023-07-07,0.85419,0.85542,0.85252,0.85395,D1,EURGBP
2023-07-07,156.823,156.93,155.383,155.818,D1,EURJPY
2023-07-07,1.08853,1.09734,1.08671,1.0968,D1,EURUSD
2023-07-07,1.92274,1.92822,1.9166,1.91795,D1,GBPAUD
2023-07-07,1.70263,1.70697,1.69995,1.70409,D1,GBPCAD
2023-07-07,183.521,183.561,182.018,182.411,D1,GBPJPY
2023-07-07,1.27312,1.28494,1.27257,1.28383,D1,GBPUSD
2023-07-07,1.33629,1.33869,1.32658,1.3275,D1,USDCAD
2023-07-07,0.8951,0.89702,0.88753,0.88906,D1,USDCHF
2023-07-07,144.059,144.196,142.068,142.088,D1,USDJPY
2023-07-10,1.63806,1.65253,1.63672,1.6478,D1,EURAUD
2023-07-10,1.4545,1.46089,1.45348,1.46088,D1,EURCAD
2023-07-10,0.85363,0.85843,0.85309,0.85525,D1,EURGBP
2023-07-10,155.732,156.672,155.326,155.451,D1,EURJPY
2023-07-10,1.0959,1.10015,1.09436,1.10007,D1,EURUSD
2023-07-10,1.91737,1.93015,1.91648,1.92646,D1,GBPAUD
2023-07-10,1.70161,1.70841,1.69555,1.70793,D1,GBPCAD
2023-07-10,182.312,183.22,181.095,181.732,D1,GBPJPY
2023-07-10,1.28256,1.28682,1.27501,1.28607,D1,GBPUSD
2023-07-10,1.32708,1.33043,1.32677,1.32799,D1,USDCAD
2023-07-10,0.89,0.89179,0.88514,0.8852,D1,USDCHF
2023-07-10,142.121,143.005,141.275,141.299,D1,USDJPY
2023-07-11,1.64776,1.65211,1.64482,1.64619,D1,EURAUD
2023-07-11,1.46067,1.462,1.45594,1.45633,D1,EURCAD
2023-07-11,0.85526,0.85612,0.85039,0.85107,D1,EURGBP
2023-07-11,155.493,155.671,154.176,154.517,D1,EURJPY
2023-07-11,1.10008,1.1027,1.09769,1.10079,D1,EURUSD
2023-07-11,1.92637,1.93922,1.92309,1.93394,D1,GBPAUD
2023-07-11,1.70725,1.71583,1.70547,1.71079,D1,GBPCAD
2023-07-11,181.784,181.985,180.789,181.517,D1,GBPJPY
2023-07-11,1.28563,1.29349,1.28507,1.293,D1,GBPUSD
2023-07-11,1.32771,1.32894,1.32298,1.32299,D1,USDCAD
2023-07-11,0.88514,0.8857,0.87929,0.8793,D1,USDCHF
2023-07-11,141.299,141.457,140.159,140.353,D1,USDJPY
2023-07-12,1.64589,1.64994,1.63544,1.6402,D1,EURAUD
2023-07-12,1.4562,1.46954,1.45431,1.46765,D1,EURCAD
2023-07-12,0.85111,0.85757,0.84996,0.85694,D1,EURGBP
2023-07-12,154.528,154.528,153.336,154.081,D1,EURJPY
2023-07-12,1.10074,1.11404,1.09972,1.11292,D1,EURUSD
2023-07-12,1.93344,1.93605,1.91149,1.91275,D1,GBPAUD
2023-07-12,1.71067,1.71638,1.70604,1.71253,D1,GBPCAD
2023-07-12,181.514,181.514,179.466,179.858,D1,GBPJPY
2023-07-12,1.29321,1.30007,1.2904,1.29868,D1,GBPUSD
2023-07-12,1.32284,1.32339,1.31435,1.31866,D1,USDCAD
2023-07-12,0.87927,0.87991,0.86591,0.86717,D1,USDCHF
2023-07-12,140.357,140.375,138.153,138.491,D1,USDJPY
2023-07-13,1.64003,1.64137,1.62335,1.62944,D1,EURAUD
2023-07-13,1.46701,1.47281,1.46516,1.47151,D1,EURCAD
2023-07-13,0.85669,0.85749,0.8535,0.85452,D1,EURGBP
2023-07-13,154.024,155.13,153.862,154.984,D1,EURJPY
2023-07-13,1.11251,1.12279,1.11251,1.12252,D1,EURUSD
2023-07-13,1.91219,1.91453,1.90148,1.90662,D1,GBPAUD
2023-07-13,1.71227,1.72497,1.7084,1.72182,D1,GBPCAD
2023-07-13,179.724,181.459,179.485,181.324,D1,GBPJPY
2023-07-13,1.29856,1.31409,1.29746,1.31348,D1,GBPUSD
2023-07-13,1.31828,1.31946,1.31036,1.31073,D1,USDCAD
2023-07-13,0.86709,0.86731,0.85822,0.8587,D1,USDCHF
2023-07-13,138.483,138.956,137.921,138.038,D1,USDJPY
2023-07-14,1.62812,1.6431,1.6266,1.64281,D1,EURAUD
2023-07-14,1.46977,1.48558,1.46829,1.4841,D1,EURCAD
2023-07-14,0.85453,0.85744,0.85365,0.85739,D1,EURGBP
2023-07-14,154.778,156.133,154.161,155.896,D1,EURJPY
2023-07-14,1.12257,1.1245,1.12028,1.12303,D1,EURUSD
2023-07-14,1.90662,1.91651,1.90237,1.91607,D1,GBPAUD
2023-07-14,1.72092,1.73348,1.71853,1.73098,D1,GBPCAD
2023-07-14,181.317,182.283,180.188,181.815,D1,GBPJPY
2023-07-14,1.31291,1.31422,1.30934,1.30979,D1,GBPUSD
2023-07-14,1.3106,1.32202,1.30924,1.32159,D1,USDCAD
2023-07-14,0.85863,0.86313,0.85661,0.8621,D1,USDCHF
2023-07-14,138.028,139.155,137.233,138.81,D1,USDJPY
2023-07-17,1.6388,1.65223,1.6388,1.64808,D1,EURAUD
2023-07-17,1.4831,1.48719,1.47767,1.48259,D1,EURCAD
2023-07-17,0.85677,0.85983,0.85561,0.85938,D1,EURGBP
2023-07-17,155.84,156.338,155.095,155.859,D1,EURJPY
2023-07-17,1.12288,1.12488,1.12033,1.12314,D1,EURUSD
2023-07-17,1.91162,1.92335,1.91111,1.91782,D1,GBPAUD
2023-07-17,1.72901,1.73298,1.72142,1.72538,D1,GBPCAD
2023-07-17,181.75,182.145,180.57,181.331,D1,GBPJPY
2023-07-17,1.30824,1.31089,1.30509,1.30725,D1,GBPUSD
2023-07-17,1.32081,1.32321,1.31607,1.31971,D1,USDCAD
2023-07-17,0.8608,0.86304,0.85782,0.86038,D1,USDCHF
2023-07-17,138.69,139.405,137.994,138.703,D1,USDJPY
2023-07-18,1.64806,1.65439,1.64295,1.64832,D1,EURAUD
2023-07-18,1.48257,1.48806,1.47796,1.47849,D1,EURCAD
2023-07-18,0.85938,0.86141,0.85768,0.86119,D1,EURGBP
2023-07-18,155.856,156.141,154.874,155.875,D1,EURJPY
2023-07-18,1.12314,1.12758,1.12089,1.1228,D1,EURUSD
2023-07-18,1.91687,1.92725,1.91322,1.91371,D1,GBPAUD
2023-07-18,1.72533,1.733,1.71614,1.71644,D1,GBPCAD
2023-07-18,181.429,181.839,180.359,180.972,D1,GBPJPY
2023-07-18,1.30725,1.31256,1.3028,1.30343,D1,GBPUSD
2023-07-18,1.31922,1.32432,1.31667,1.3167,D1,USDCAD
2023-07-18,0.86046,0.86069,0.85549,0.85737,D1,USDCHF
2023-07-18,138.705,139.132,137.682,138.822,D1,USDJPY
2023-07-19,1.64491,1.66032,1.64378,1.6536,D1,EURAUD
2023-07-19,1.47819,1.48045,1.47248,1.47405,D1,EURCAD
2023-07-19,0.86119,0.87014,0.85949,0.86559,D1,EURGBP
2023-07-19,155.873,157.201,155.677,156.465,D1,EURJPY
2023-07-19,1.12263,1.12402,1.11744,1.11986,D1,EURUSD
2023-07-19,1.91041,1.92084,1.90074,1.91054,D1,GBPAUD
2023-07-19,1.71606,1.71728,1.6947,1.70227,D1,GBPCAD
2023-07-19,180.931,181.626,179.818,180.681,D1,GBPJPY
2023-07-19,1.3034,1.30414,1.28674,1.29391,D1,GBPUSD
2023-07-19,1.31672,1.31932,1.31554,1.3163,D1,USDCAD
2023-07-19,0.85661,0.86134,0.85654,0.85837,D1,USDCHF
2023-07-19,138.824,139.992,138.749,139.634,D1,USDJPY
2023-07-20,1.65245,1.65558,1.63819,1.64157,D1,EURAUD
2023-07-20,1.47413,1.47596,1.46484,1.4658,D1,EURCAD
2023-07-20,0.86529,0.86982,0.86478,0.8648,D1,EURGBP
2023-07-20,156.258,156.624,155.861,155.894,D1,EURJPY
2023-07-20,1.11991,1.1229,1.11185,1.1129,D1,EURUSD
2023-07-20,1.90981,1.91154,1.88515,1.89787,D1,GBPAUD
2023-07-20,1.70226,1.70339,1.69044,1.69464,D1,GBPCAD
2023-07-20,180.566,180.715,179.692,180.226,D1,GBPJPY
2023-07-20,1.29387,1.29642,1.28398,1.28665,D1,GBPUSD
2023-07-20,1.31636,1.31943,1.31193,1.31705,D1,USDCAD
2023-07-20,0.85846,0.86839,0.85605,0.86632,D1,USDCHF
